Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Profit Margin,Price to Revenue Ratio,Lead Time Efficiency,Shipping Cost per Unit,Days in Inventory,Defect Rate per Production Volume,Revenue per Product Type,Average Shipping Time per Carrier,Manufacturing Cost per Unit,Stock Turnover Rate,Cost to Revenue Ratio
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,supplier 3,mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,0.9946571350290553,0.00805911237503879,1.75,0.030797626452404237,0.6041666666666666,0.0010530714458136053,174455.3906054623,5.3023255813953485,0.21525525228143405,1.6551724137931034,0.021675380395442066
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,supplier 3,mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,0.9954942743289886,0.0019895083897223226,15.0,0.26261012895760294,1.4324324324324325,0.00938891301042303,241628.16213306322,6.142857142857143,0.06502276393371374,0.6981132075471698,0.06742692902154654
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,supplier 1,mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,0.9967959050354168,0.0011818729592301112,5.0,0.09152817342877449,0.011363636363636364,0.004717397136147506,174455.3906054623,5.3023255813953485,0.03160455133705891,88.0,0.014817706383575095
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,supplier 5,kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,0.9954132236801959,0.007874936417376856,2.1666666666666665,0.029314721415990317,0.3898305084745763,0.0050657936186208645,241628.16213306322,6.0344827586206895,0.03802000149106193,2.5652173913043477,0.03280308033483644
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,supplier 1,delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,0.965730510308161,0.0017887537023862088,0.375,0.069474069926262,0.08928571428571429,0.007598018171094207,241628.16213306322,6.142857142857143,0.2223796149727363,11.2,0.34373305823483674
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,supplier 4,bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,0.979929463918408,0.0006010489393448045,9.0,0.0673348312785196,1.3636363636363635,0.026723014534338094,174455.3906054623,5.3023255813953485,0.5458314957445365,0.7333333333333333,0.08325042556034057
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,supplier 3,kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,0.9998613060879866,0.0005212941883412568,1.875,0.06690971211986212,0.1896551724137931,0.0031876134372743167,241628.16213306322,6.0344827586206895,0.003455632387219964,5.2727272727272725,0.01717511337045205
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,supplier 4,bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,0.9882927385550123,0.005056245230463714,17.0,0.21348534403798006,8.454545454545455,0.0007059879199479621,161521.26599948315,5.3023255813953485,0.17635834858794172,0.11827956989247312,0.0944028379904964
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,supplier 4,mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,0.9984804476224575,0.009141183527137048,1.4285714285714286,0.22698225713886844,0.3333333333333333,0.003523878662041562,161521.26599948315,6.0344827586206895,0.014854391598915079,3.0,0.0672519233220633
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,supplier 2,chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,0.9903528076313356,0.012877459865621534,27.0,0.08634512398853272,0.1686746987951807,0.003992330715231137,241628.16213306322,6.142857142857143,0.049800209382088866,5.928571428571429,0.20034202656405103
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,supplier 5,kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,0.9585891167091849,0.006738749949834106,6.5,0.10841514014098266,0.6375,0.0020811011185011357,241628.16213306322,6.0344827586206895,0.11629801540398907,1.5686274509803921,0.3458236826037848
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,supplier 2,kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,0.9954766203486712,0.01485840825176957,23.0,0.07539905207194438,0.7666666666666667,5.848016953865829e-05,241628.16213306322,6.142857142857143,0.07622199747697153,1.3043478260869565,0.02077445809474074
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,supplier 4,kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,0.9887528899796565,0.024780722418139476,7.5,0.015591458943347318,1.1764705882352942,0.0038388166031188492,174455.3906054623,6.142857142857143,0.05740903412686329,0.85,0.14022444142692858
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,supplier 5,bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,0.9758610006216519,0.00398752439896715,0.8888888888888888,0.19869339710642372,1.6666666666666667,0.00942817474029791,241628.16213306322,6.142857142857143,0.5654858387871288,0.6,0.13502993506029662
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,supplier 1,kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,0.9993307460377834,0.011460162455625802,5.8,0.02615089986473503,0.6923076923076923,0.00018043521785859084,241628.16213306322,5.3023255813953485,0.010378918691510733,1.4444444444444444,0.10738171534695774
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,supplier 1,bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,0.9821536690645816,0.0067968862657385885,1.1428571428571428,0.03510202497500296,0.13043478260869565,0.0039041478641354296,241628.16213306322,5.3023255813953485,0.167450485778404,7.666666666666667,0.02349499466724915
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,supplier 1,bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,0.9880525633312257,0.0011694156134118888,5.0,0.05373493058596797,0.02564102564102564,0.002537752103403632,241628.16213306322,5.3023255813953485,0.1932489786913534,39.0,0.1341110744462645
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,supplier 1,chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,0.9818666825068691,0.030981457679671278,1.8888888888888888,0.04218139950861579,0.5294117647058824,0.0002252113795103225,161521.26599948315,6.0344827586206895,0.10525315754603827,1.8888888888888888,0.255166692211589
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,supplier 2,kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,0.9971052935438539,0.0038916068724346308,1.25,0.09433097204588498,0.21739130434782608,0.0059677516329659465,174455.3906054623,6.0344827586206895,0.072481232232203,4.6,0.06337436733901643
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,supplier 4,chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,0.9677409582878626,0.02002113118521042,3.6666666666666665,0.050453573221722094,0.5106382978723404,0.005254251967459695,241628.16213306322,6.142857142857143,0.11869354551583604,1.9583333333333333,0.1869232255173629
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,supplier 1,chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,0.9919185487478179,0.011852945884680737,2.0,0.13056374486657119,0.39705882352941174,0.013693904768720191,241628.16213306322,6.142857142857143,0.2125768919368564,2.5185185185185186,0.06076150743279728
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,supplier 5,chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,0.9912889417365429,0.011978726929543519,4.166666666666667,0.8625548241740425,9.857142857142858,2.3524105728210997e-05,161521.26599948315,5.3023255813953485,0.07804769779287096,0.10144927536231885,0.07384747047092681
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,supplier 4,kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,0.9790360236328093,0.011577584829672303,0.1,0.1518674431892546,1.126984126984127,0.003322148042578354,174455.3906054623,6.142857142857143,0.06425748668330429,0.8873239436619719,0.08598432299918027
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,supplier 5,kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,0.9888681569767549,0.0004881645688326741,0.7142857142857143,0.10085715866019151,2.896551724137931,0.002363189370990729,161521.26599948315,6.142857142857143,0.17360907965264769,0.34523809523809523,0.02216316319441179
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,supplier 2,bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,0.9955374060955721,0.0004593073927733236,3.25,4.870645844642184,2.0,0.008257964860466952,174455.3906054623,6.0344827586206895,0.09034084944725909,0.5,0.08384553478956719
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,supplier 4,kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,0.964005329667326,0.01822225588862725,3.6666666666666665,0.04290526310157169,1.5769230769230769,0.004065558048302123,174455.3906054623,6.0344827586206895,0.08381197336018778,0.6341463414634146,0.2108427366482947
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,supplier 2,bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,0.9957023386411331,0.026220132278712234,4.0,0.13557392960580314,1.2291666666666667,0.012393682670905981,174455.3906054623,5.3023255813953485,0.09340485238117988,0.8135593220338984,0.16624997336965314
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,supplier 5,mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,0.996080992849003,0.03445331643479419,1.125,0.11946372504835603,0.7580645161290323,0.009844219374169667,161521.26599948315,6.0344827586206895,0.03617953632316894,1.3191489361702127,0.2838158655438268
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,supplier 1,mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,0.990285069773124,0.0003918828665207635,3.75,0.4124225211695509,2.0,0.004770509235647205,161521.26599948315,5.3023255813953485,0.34754024450696824,0.5,0.020178269959298584
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,supplier 1,kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,0.995276675943111,0.007626913993453085,0.7142857142857143,0.12091004694622434,0.6716417910447762,0.011787534761667138,161521.26599948315,5.3023255813953485,0.11943123278439437,1.488888888888889,0.0919514698086241
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,supplier 4,kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,0.981334597619381,0.002900168578777638,3.7142857142857144,0.25584366615194326,1.7142857142857142,0.0011977601803379568,174455.3906054623,5.3023255813953485,0.0640631431763143,0.5833333333333334,0.31813885323391117
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,supplier 3,chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,0.9937596786559074,0.005266357488607008,4.25,0.06090138556775924,0.13636363636363635,0.006483731033958947,241628.16213306322,5.3023255813953485,0.13069662833318454,7.333333333333333,0.0631145188684924
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,supplier 3,kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,0.9968978414528492,0.008275559547068795,3.25,0.10311101408185287,1.390625,0.0026404832013380095,241628.16213306322,6.0344827586206895,0.04028828650440946,0.7191011235955056,0.0795246193939663
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,supplier 5,chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,0.9953682650187634,0.012581641894122517,1.8888888888888888,0.05113968950985937,0.042105263157894736,0.014107753036856267,161521.26599948315,6.0344827586206895,0.09503357574859017,23.75,0.07208842998764385
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,supplier 1,chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,0.998813218283055,0.004134715040226757,3.7142857142857144,0.04854702718200567,0.047619047619047616,0.0014305410605576436,241628.16213306322,6.142857142857143,0.02379263897130383,21.0,0.056320269573655206
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,supplier 1,delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,0.9911325689340452,0.012987847322479677,3.375,0.06221399988620482,0.49411764705882355,0.001474534327140548,161521.26599948315,6.0344827586206895,0.15805119085761243,2.0238095238095237,0.08460367030290049
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,supplier 2,delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,0.9939879909339856,0.0012957191478163554,7.666666666666667,0.07528397382711004,0.6428571428571429,0.005671435736577278,241628.16213306322,5.3023255813953485,0.06785598246969023,1.5555555555555556,0.053319360286959404
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,supplier 3,kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,0.9859153036720129,0.00959662943636561,0.8888888888888888,0.07298358445668718,1.1904761904761905,0.003010712900632195,241628.16213306322,6.142857142857143,0.039611623373789366,0.84,0.07543368574050231
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,supplier 5,mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,0.9993881036898584,0.00537290774679678,0.2,0.10495376633237759,0.7840909090909091,0.0007292828765333026,161521.26599948315,5.3023255813953485,0.0070519543942072745,1.2753623188405796,0.03504557615001158
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,supplier 2,kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,0.9952909965378515,0.010001474868213359,9.666666666666666,0.1636030523185407,2.2941176470588234,0.0018356159342564045,241628.16213306322,6.142857142857143,0.01138534441059626,0.4358974358974359,0.3417959376547476
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,supplier 1,kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,0.9845973741111035,0.014068470925391178,2.5,0.18537423435221728,2.3076923076923075,0.005313076205027196,241628.16213306322,6.0344827586206895,0.11119723468375468,0.43333333333333335,0.0925436656486421
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,supplier 4,chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,0.9827334684952738,0.017951386874008664,2.375,0.1519279932570172,1.6842105263157894,5.078728968414753e-05,241628.16213306322,5.3023255813953485,0.10687451182597812,0.59375,0.04990293934130339
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,supplier 5,bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,0.9475851671097713,0.02529295999494386,6.75,0.13203944433072823,0.38596491228070173,0.027593604964362837,241628.16213306322,6.0344827586206895,0.5386749756400664,2.590909090909091,0.3455391734612071
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,supplier 5,mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,0.995420007544609,0.0020467841496911803,3.2222222222222223,0.04345907374574652,0.4235294117647059,0.001807304698956785,174455.3906054623,5.3023255813953485,0.12756002891908938,2.361111111111111,0.12480233641187237
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,supplier 2,delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,0.9968465877252395,0.007180332352222348,3.1666666666666665,0.10524235635245408,0.18055555555555555,0.003552309736756453,161521.26599948315,6.0344827586206895,0.02704329331041696,5.538461538461538,0.08535079069822817
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,supplier 2,chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,0.9874120941262369,0.006413138768506891,1.1666666666666667,0.10029144247522903,1.7884615384615385,0.004054917647461091,174455.3906054623,5.3023255813953485,0.08351705848865448,0.5591397849462365,0.09402235347152375
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,supplier 3,chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,0.9697577674052089,0.010592362690822844,3.625,0.6784926395140137,15.333333333333334,0.004193805278777245,174455.3906054623,5.3023255813953485,0.08887626805868003,0.06521739130434782,0.14879567964200227
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,supplier 1,kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,0.9972193998854744,0.013500597153847424,1.6666666666666667,0.1760539363911759,0.0784313725490196,0.0003947858783332092,241628.16213306322,5.3023255813953485,0.0204491627710515,12.75,0.08203744516823458
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,supplier 2,mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,0.9968735782625145,0.01027914216042261,5.333333333333333,0.7884259062839043,3.3333333333333335,0.01557901413499453,174455.3906054623,6.0344827586206895,0.2121684732336218,0.3,0.10391301009246799
